WKT,category,latitude,longitude,datazone,name
"POINT (-4.28606 55.88567)",Potholes,55.88567,-4.28606,S01010320,Ruchill - 06
"POINT (-4.27211 55.84002)",Potholes,55.84002,-4.27211,S01009884,Pollokshields East - 04
"POINT (-4.15312 55.85411)",Potholes,55.85411,-4.15312,S01010136,Greenfield - 06
"POINT (-4.27202 55.81801)",Potholes,55.81801,-4.27202,S01009955,Merrylee and Millbrae - 01
"POINT (-4.32783 55.89576)",Potholes,55.89576,-4.32783,S01010473,Anniesland West - 04
"POINT (-4.34863 55.89721)",Pavements/footpaths,55.89721,-4.34863,S01010480,Blairdardie East - 03
"POINT (-4.21502 55.88395)",Potholes,55.88395,-4.21502,S01010201,Barmulloch - 03
"POINT (-4.28077 55.8845)",Potholes,55.8845,-4.28077,S01010318,Ruchill - 04
"POINT (-4.29748 55.84171)",Potholes,55.84171,-4.29748,S01009879,Pollokshields West - 05
"POINT (-4.184 55.87431)",Potholes,55.87431,-4.184,S01010182,Blackhill and Barmulloch East - 04
"POINT (-4.26632 55.83736)",Potholes,55.83736,-4.26632,S01009907,Strathbungo - 03
"POINT (-4.34186 55.80599)",Potholes,55.80599,-4.34186,S01009767,Darnley North - 04
"POINT (-4.24246 55.85775)",Pavements/footpaths,55.85775,-4.24246,S01010258,Gallowgate North and Bellgrove - 05
"POINT (-4.36265 55.88387)",Potholes,55.88387,-4.36265,S01010435,Scotstoun South and West - 04
"POINT (-4.32384 55.81339)",Potholes,55.81339,-4.32384,S01009939,Carnwadric West - 01
"POINT (-4.37206 55.84916)",Potholes,55.84916,-4.37206,S01009827,Penilee - 06
"POINT (-4.30912 55.81256)",Potholes,55.81256,-4.30912,S01009945,Carnwadric East - 02
"POINT (-4.3582 55.84471)",Potholes,55.84471,-4.3582,S01009820,Cardonald West and Central - 06
"POINT (-4.26264 55.84236)",Potholes,55.84236,-4.26264,S01010033,Laurieston and Tradeston - 03
"POINT (-4.29678 55.89571)",Potholes,55.89571,-4.29678,S01010357,Maryhill West - 04
"POINT (-4.13135 55.86592)",Potholes,55.86592,-4.13135,S01010120,North Barlanark and Easterhouse South - 03
"POINT (-4.09393 55.88174)",Potholes,55.88174,-4.09393,S01010117,"Garthamlock, Auchinlea and Gartloch - 05"
"POINT (-4.30408 55.87742)",Potholes,55.87742,-4.30408,S01010404,Dowanhill - 02
"POINT (-4.23581 55.86509)",Potholes,55.86509,-4.23581,S01010262,City Centre East - 04
"POINT (-4.17968 55.9038)",Potholes,55.9038,-4.17968,S01010188,Robroyston and Millerston - 03
"POINT (-4.32035 55.87071)",Potholes,55.87071,-4.32035,S01010391,Glasgow Harbour and Partick South - 04
"POINT (-4.28241 55.84016)",Potholes,55.84016,-4.28241,S01009912,Maxwell Park - 01
"POINT (-4.34662 55.827)",Potholes,55.827,-4.34662,S01009789,Crookston North - 02
"POINT (-4.2021 55.84775)",Potholes,55.84775,-4.2021,S01010050,Parkhead West and Barrowfield - 02
"POINT (-4.29298 55.8176)",Potholes,55.8176,-4.29298,S01009953,Newlands - 06
"POINT (-4.3032 55.8765)",Potholes,55.8765,-4.3032,S01010401,Partickhill and Hyndland - 05
"POINT (-4.30636 55.87712)",Potholes,55.87712,-4.30636,S01010402,Partickhill and Hyndland - 06
"POINT (-4.30693 55.87698)",Potholes,55.87698,-4.30693,S01010400,Partickhill and Hyndland - 04
"POINT (-4.27084 55.86758)",Potholes,55.86758,-4.27084,S01010266,City Centre West - 01
"POINT (-4.2679 55.86518)",Potholes,55.86518,-4.2679,S01010267,City Centre West - 02
"POINT (-4.31256 55.84067)",Potholes,55.84067,-4.31256,S01009852,Mosspark - 01
"POINT (-4.29941 55.83872)",Potholes,55.83872,-4.29941,S01009914,Maxwell Park - 03
"POINT (-4.289 55.84063)",Potholes,55.84063,-4.289,S01009914,Maxwell Park - 03
"POINT (-4.34172 55.80593)",Potholes,55.80593,-4.34172,S01009767,Darnley North - 04
"POINT (-4.26302 55.85415)",Potholes,55.85415,-4.26302,S01010032,Laurieston and Tradeston - 02
"POINT (-4.28283 55.85248)",Potholes,55.85248,-4.28283,S01009867,Kinning Park and Festival Park - 02
"POINT (-4.33923 55.8736)",Potholes,55.8736,-4.33923,S01010436,Scotstoun South and West - 05
"POINT (-4.2932 55.85436)",Potholes,55.85436,-4.2932,S01009862,Ibrox East and Cessnock - 01
"POINT (-4.22011 55.88262)",Pavements/footpaths,55.88262,-4.22011,S01010211,Springburn - 03
"POINT (-4.23468 55.8688)",Potholes,55.8688,-4.23468,S01010262,City Centre East - 04
"POINT (-4.24625 55.82872)",Potholes,55.82872,-4.24625,S01010021,Toryglen and Oatlands - 06
"POINT (-4.265 55.83667)",Potholes,55.83667,-4.265,S01009893,Govanhill West - 07
"POINT (-4.27691 55.8331)",Potholes,55.8331,-4.27691,S01009921,Shawlands West - 03
"POINT (-4.27099 55.86708)",Potholes,55.86708,-4.27099,S01010266,City Centre West - 01
"POINT (-4.37567 55.90046)",Potholes,55.90046,-4.37567,S01010486,Blairdardie West - 02
"POINT (-4.353 55.90046)",Potholes,55.90046,-4.353,S01010480,Blairdardie East - 03
"POINT (-4.27876 55.8362)",Potholes,55.8362,-4.27876,S01009915,Maxwell Park - 04
"POINT (-4.27876 55.8361)",Potholes,55.8361,-4.27876,S01009915,Maxwell Park - 04
"POINT (-4.11998 55.86516)",Potholes,55.86516,-4.11998,S01010122,North Barlanark and Easterhouse South - 05
"POINT (-4.30376 55.84737)",Potholes,55.84737,-4.30376,S01009873,Kingston West and Dumbreck - 03
"POINT (-4.10919 55.84653)",Potholes,55.84653,-4.10919,S01010092,Baillieston East - 05
"POINT (-4.28762 55.88351)",Potholes,55.88351,-4.28762,S01010322,Ruchill - 08
"POINT (-4.22139 55.8617)",Potholes,55.8617,-4.22139,S01010251,Dennistoun - 04
"POINT (-4.37278 55.90205)",Potholes,55.90205,-4.37278,S01010486,Blairdardie West - 02
"POINT (-4.2592 55.8283)",Potholes,55.8283,-4.2592,S01010014,Mount Florida - 04
"POINT (-4.32161 55.89575)",Potholes,55.89575,-4.32161,S01010466,Anniesland East - 02
"POINT (-4.2632 55.81598)",Pavements/footpaths,55.81598,-4.2632,S01009964,Muirend and Old Cathcart - 06
"POINT (-4.25037 55.78488)",Potholes,55.78488,-4.25037,S01009969,Carmunnock South - 01
"POINT (-4.26136 55.83767)",Potholes,55.83767,-4.26136,S01009887,Govanhill West - 01
"POINT (-4.31881 55.84016)",Potholes,55.84016,-4.31881,S01009852,Mosspark - 01
"POINT (-4.25423 55.88309)",Potholes,55.88309,-4.25423,S01010224,Cowlairs and Port Dundas - 06
"POINT (-4.29239 55.86625)",Potholes,55.86625,-4.29239,S01010282,Finnieston and Kelvinhaugh - 01
"POINT (-4.29243 55.86642)",Potholes,55.86642,-4.29243,S01010284,Finnieston and Kelvinhaugh - 03
"POINT (-4.2664 55.86502)",Potholes,55.86502,-4.2664,S01010267,City Centre West - 02
"POINT (-4.15652 55.84507)",Potholes,55.84507,-4.15652,S01010073,Shettleston South - 05
"POINT (-4.20539 55.88178)",Potholes,55.88178,-4.20539,S01010202,Barmulloch - 04
"POINT (-4.24655 55.78597)",Potholes,55.78597,-4.24655,S01009969,Carmunnock South - 01
"POINT (-4.26241 55.84283)",Potholes,55.84283,-4.26241,S01010033,Laurieston and Tradeston - 03
"POINT (-4.28824 55.90044)",Pavements/footpaths,55.90044,-4.28824,S01010342,Summerston Central and West - 03
"POINT (-4.2705 55.85942)",Potholes,55.85942,-4.2705,S01010277,Anderston - 02
"POINT (-4.2919 55.83153)",Potholes,55.83153,-4.2919,S01009916,Maxwell Park - 05
"POINT (-4.28105 55.83277)",Potholes,55.83277,-4.28105,S01009920,Shawlands West - 02
"POINT (-4.23608 55.86899)",Potholes,55.86899,-4.23608,S01010261,City Centre East - 03
"POINT (-4.34738 55.80285)",Potholes,55.80285,-4.34738,S01009770,Darnley West - 03
"POINT (-4.27689 55.89313)",Potholes,55.89313,-4.27689,S01010351,Maryhill East - 02
"POINT (-4.33108 55.89216)",Potholes,55.89216,-4.33108,S01010476,Anniesland West - 07
"POINT (-4.31879 55.85233)",Potholes,55.85233,-4.31879,S01009843,Govan and Linthouse - 03
"POINT (-4.29583 55.82978)",Potholes,55.82978,-4.29583,S01009913,Maxwell Park - 02
"POINT (-4.29079 55.83297)",Potholes,55.83297,-4.29079,S01009916,Maxwell Park - 05
"POINT (-4.29043 55.83356)",Potholes,55.83356,-4.29043,S01009916,Maxwell Park - 05
"POINT (-4.32213 55.89345)",Potholes,55.89345,-4.32213,S01010469,Anniesland East - 05
"POINT (-4.27552 55.86704)",Potholes,55.86704,-4.27552,S01010289,Woodlands - 01
"POINT (-4.31908 55.87588)",Potholes,55.87588,-4.31908,S01010418,Broomhill - 04
"POINT (-4.22673 55.8439)",Pavements/footpaths,55.8439,-4.22673,S01010045,Bridgeton - 04
"POINT (-4.17341 55.84946)",Potholes,55.84946,-4.17341,S01010142,Tollcross - 01
"POINT (-4.28998 55.83322)",Potholes,55.83322,-4.28998,S01009916,Maxwell Park - 05
"POINT (-4.32773 55.85966)",Pavements/footpaths,55.85966,-4.32773,S01009840,Drumoyne and Shieldhall - 08
"POINT (-4.32496 55.87305)",Potholes,55.87305,-4.32496,S01010415,Broomhill - 01
"POINT (-4.30718 55.84703)",Potholes,55.84703,-4.30718,S01009873,Kingston West and Dumbreck - 03
"POINT (-4.368 55.89013)",Potholes,55.89013,-4.368,S01010449,Knightswood West - 03
"POINT (-4.28891 55.87408)",Potholes,55.87408,-4.28891,S01010379,Kelvingrove and University - 06
"POINT (-4.26693 55.8845)",Pavements/footpaths,55.8845,-4.26693,S01010314,Keppochhill - 06
"POINT (-4.30493 55.82122)",Potholes,55.82122,-4.30493,S01009937,Pollokshaws - 05
"POINT (-4.34033 55.81181)",Potholes,55.81181,-4.34033,S01009782,Nitshill - 08
"POINT (-4.28898 55.86624)",Potholes,55.86624,-4.28898,S01010287,Finnieston and Kelvinhaugh - 06
"POINT (-4.32662 55.87769)",Potholes,55.87769,-4.32662,S01010418,Broomhill - 04
"POINT (-4.26014 55.86047)",Pavements/footpaths,55.86047,-4.26014,S01010275,City Centre South - 04
"POINT (-4.29666 55.89609)",Potholes,55.89609,-4.29666,S01010357,Maryhill West - 04
"POINT (-4.23021 55.85025)",Pavements/footpaths,55.85025,-4.23021,S01010042,Bridgeton - 01
"POINT (-4.32486 55.87581)",Potholes,55.87581,-4.32486,S01010418,Broomhill - 04
"POINT (-4.25163 55.88565)",Pavements/footpaths,55.88565,-4.25163,S01010323,Possil Park - 01
"POINT (-4.28568 55.90078)",Potholes,55.90078,-4.28568,S01010342,Summerston Central and West - 03
"POINT (-4.33074 55.83493)",Potholes,55.83493,-4.33074,S01009854,Mosspark - 03
"POINT (-4.26714 55.85201)",Potholes,55.85201,-4.26714,S01010032,Laurieston and Tradeston - 02
"POINT (-4.28406 55.82378)",Pavements/footpaths,55.82378,-4.28406,S01009932,Langside - 06
"POINT (-4.22058 55.8827)",Pavements/footpaths,55.8827,-4.22058,S01010211,Springburn - 03
"POINT (-4.32383 55.815)",Potholes,55.815,-4.32383,S01009937,Pollokshaws - 05
"POINT (-4.15267 55.87456)",Potholes,55.87456,-4.15267,S01010170,Craigend and Ruchazie - 06
"POINT (-4.34789 55.80804)",Potholes,55.80804,-4.34789,S01009769,Darnley West - 02
"POINT (-4.11488 55.8486)",Potholes,55.8486,-4.11488,S01010092,Baillieston East - 05
"POINT (-4.36476 55.84987)",Potholes,55.84987,-4.36476,S01009826,Penilee - 05
"POINT (-4.07997 55.86583)",Potholes,55.86583,-4.07997,S01010109,Easterhouse East - 05
"POINT (-4.28274 55.85266)",Pavements/footpaths,55.85266,-4.28274,S01009867,Kinning Park and Festival Park - 02
"POINT (-4.3648 55.84992)",Potholes,55.84992,-4.3648,S01009826,Penilee - 05
"POINT (-4.29506 55.87787)",Potholes,55.87787,-4.29506,S01010406,Dowanhill - 04
"POINT (-4.29977 55.8249)",Potholes,55.8249,-4.29977,S01009935,Pollokshaws - 03
"POINT (-4.32404 55.8147)",Potholes,55.8147,-4.32404,S01009937,Pollokshaws - 05
"POINT (-4.35371 55.84599)",Potholes,55.84599,-4.35371,S01009819,Cardonald West and Central - 05
"POINT (-4.31384 55.86208)",Potholes,55.86208,-4.31384,S01009843,Govan and Linthouse - 03
"POINT (-4.34784 55.82705)",Potholes,55.82705,-4.34784,S01009789,Crookston North - 02
"POINT (-4.24676 55.86288)",Potholes,55.86288,-4.24676,S01010260,City Centre East - 02
"POINT (-4.22154 55.84777)",Potholes,55.84777,-4.22154,S01010045,Bridgeton - 04
"POINT (-4.12359 55.8679)",Pavements/footpaths,55.8679,-4.12359,S01010122,North Barlanark and Easterhouse South - 05
"POINT (-4.30823 55.88958)",Potholes,55.88958,-4.30823,S01010364,Kelvindale - 02
"POINT (-4.26694 55.84727)",Potholes,55.84727,-4.26694,S01010032,Laurieston and Tradeston - 02
"POINT (-4.19016 55.86774)",Potholes,55.86774,-4.19016,S01010175,Riddrie and Hogganfield - 04
"POINT (-4.30589 55.85068)",Potholes,55.85068,-4.30589,S01009864,Ibrox East and Cessnock - 03
"POINT (-4.36711 55.83211)",Pavements/footpaths,55.83211,-4.36711,S01009792,Pollok South and West - 01
"POINT (-4.11799 55.8509)",Potholes,55.8509,-4.11799,S01010099,Garrowhill West - 06
"POINT (-4.29583 55.87864)",Potholes,55.87864,-4.29583,S01010404,Dowanhill - 02
"POINT (-4.25887 55.86059)",Pavements/footpaths,55.86059,-4.25887,S01010275,City Centre South - 04
"POINT (-4.36354 55.82181)",Potholes,55.82181,-4.36354,S01009797,Pollok South and West - 06
"POINT (-4.33119 55.87188)",Potholes,55.87188,-4.33119,S01010423,Whiteinch - 01
"POINT (-4.34482 55.82429)",Potholes,55.82429,-4.34482,S01009789,Crookston North - 02
"POINT (-4.33923 55.82931)",Potholes,55.82931,-4.33923,S01009788,Crookston North - 01
"POINT (-4.23464 55.86939)",Potholes,55.86939,-4.23464,S01010261,City Centre East - 03
"POINT (-4.36731 55.83205)",Pavements/footpaths,55.83205,-4.36731,S01009792,Pollok South and West - 01
"POINT (-4.24267 55.82543)",Potholes,55.82543,-4.24267,S01010000,Kingspark North - 02
"POINT (-4.36684 55.8178)",Potholes,55.8178,-4.36684,S01009797,Pollok South and West - 06
"POINT (-4.1615 55.85675)",Pavements/footpaths,55.85675,-4.1615,S01010134,Greenfield - 04
"POINT (-4.31799 55.87071)",Pavements/footpaths,55.87071,-4.31799,S01010390,Glasgow Harbour and Partick South - 03
"POINT (-4.3079 55.85824)",Potholes,55.85824,-4.3079,S01009861,Ibrox - 03
"POINT (-4.17693 55.83869)",Potholes,55.83869,-4.17693,S01010071,Shettleston South - 03
"POINT (-4.15743 55.84625)",Pavements/footpaths,55.84625,-4.15743,S01010073,Shettleston South - 05
"POINT (-4.3202 55.87049)",Potholes,55.87049,-4.3202,S01010391,Glasgow Harbour and Partick South - 04
"POINT (-4.35582 55.90582)",Potholes,55.90582,-4.35582,S01010489,Drumchapel South - 02
"POINT (-4.36444 55.84982)",Pavements/footpaths,55.84982,-4.36444,S01009826,Penilee - 05
"POINT (-4.30392 55.83727)",Potholes,55.83727,-4.30392,S01009914,Maxwell Park - 03
"POINT (-4.29788 55.85319)",Potholes,55.85319,-4.29788,S01009862,Ibrox East and Cessnock - 01
"POINT (-4.26228 55.81745)",Pavements/footpaths,55.81745,-4.26228,S01010009,Cathcart - 05
"POINT (-4.36327 55.8294)",Potholes,55.8294,-4.36327,S01009795,Pollok South and West - 04
"POINT (-4.29809 55.85318)",Pavements/footpaths,55.85318,-4.29809,S01009862,Ibrox East and Cessnock - 01
"POINT (-4.2335 55.87198)",Potholes,55.87198,-4.2335,S01010226,Sighthill - 02
"POINT (-4.23523 55.86848)",Potholes,55.86848,-4.23523,S01010262,City Centre East - 04
"POINT (-4.35908 55.83203)",Potholes,55.83203,-4.35908,S01009805,Pollok North and East - 07
"POINT (-4.21416 55.85406)",Potholes,55.85406,-4.21416,S01010245,Carntyne West and Haghill - 04
"POINT (-4.3103 55.84935)",Potholes,55.84935,-4.3103,S01009873,Kingston West and Dumbreck - 03
"POINT (-4.24936 55.88762)",Potholes,55.88762,-4.24936,S01010328,Possil Park - 06
"POINT (-4.18856 55.88212)",Potholes,55.88212,-4.18856,S01010188,Robroyston and Millerston - 03
"POINT (-4.31096 55.85588)",Potholes,55.85588,-4.31096,S01009861,Ibrox - 03
"POINT (-4.30264 55.87647)",Pavements/footpaths,55.87647,-4.30264,S01010401,Partickhill and Hyndland - 05
"POINT (-4.29321 55.8561)",Potholes,55.8561,-4.29321,S01009862,Ibrox East and Cessnock - 01
"POINT (-4.36874 55.81951)",Potholes,55.81951,-4.36874,S01009797,Pollok South and West - 06
"POINT (-4.16781 55.83627)",Potholes,55.83627,-4.16781,S01010071,Shettleston South - 03
"POINT (-4.26586 55.89691)",Potholes,55.89691,-4.26586,S01010334,Milton West - 05
"POINT (-4.2525 55.83611)",Potholes,55.83611,-4.2525,S01009898,Govanhill East and Aikenhead - 05
"POINT (-4.26682 55.88448)",Pavements/footpaths,55.88448,-4.26682,S01010314,Keppochhill - 06
"POINT (-4.28733 55.8356)",Potholes,55.8356,-4.28733,S01009915,Maxwell Park - 04
"POINT (-4.26453 55.88471)",Potholes,55.88471,-4.26453,S01010314,Keppochhill - 06
"POINT (-4.13493 55.86379)",Pavements/footpaths,55.86379,-4.13493,S01010120,North Barlanark and Easterhouse South - 03
"POINT (-4.27086 55.89359)",Pavements/footpaths,55.89359,-4.27086,S01010333,Milton West - 04
"POINT (-4.28795 55.8832)",Potholes,55.8832,-4.28795,S01010322,Ruchill - 08
"POINT (-4.2457 55.84914)",Potholes,55.84914,-4.2457,S01010027,Gorbals and Hutchesontown - 05
"POINT (-4.29044 55.8335)",Potholes,55.8335,-4.29044,S01009916,Maxwell Park - 05
"POINT (-4.10576 55.85288)",Potholes,55.85288,-4.10576,S01010101,Garrowhill East and Swinton - 02
"POINT (-4.22844 55.88829)",Potholes,55.88829,-4.22844,S01010210,Springburn - 02
"POINT (-4.22843 55.8884)",Potholes,55.8884,-4.22843,S01010210,Springburn - 02
"POINT (-4.23151 55.80539)",Potholes,55.80539,-4.23151,S01009980,Glenwood North - 01
"POINT (-4.26024 55.86074)",Pavements/footpaths,55.86074,-4.26024,S01010275,City Centre South - 04
"POINT (-4.19213 55.86863)",Potholes,55.86863,-4.19213,S01010176,Riddrie and Hogganfield - 05
"POINT (-4.30248 55.87391)",Potholes,55.87391,-4.30248,S01010380,Kelvingrove and University - 07
"POINT (-4.27985 55.83209)",Potholes,55.83209,-4.27985,S01009920,Shawlands West - 02
"POINT (-4.27452 55.82487)",Potholes,55.82487,-4.27452,S01009929,Langside - 03
"POINT (-4.28064 55.81099)",Potholes,55.81099,-4.28064,S01009959,Muirend and Old Cathcart - 01
"POINT (-4.36801 55.90241)",Pavements/footpaths,55.90241,-4.36801,S01010486,Blairdardie West - 02
"POINT (-4.34849 55.80774)",Potholes,55.80774,-4.34849,S01009766,Darnley North - 03
"POINT (-4.29952 55.81979)",Potholes,55.81979,-4.29952,S01009938,Pollokshaws - 06
"POINT (-4.2878 55.92681)",Potholes,55.92681,-4.2878,S01010345,Summerston Central and West - 06
"POINT (-4.26521 55.82525)",Potholes,55.82525,-4.26521,S01009901,Battlefield - 03
"POINT (-4.25443 55.86366)",Potholes,55.86366,-4.25443,S01010275,City Centre South - 04
"POINT (-4.21142 55.86036)",Potholes,55.86036,-4.21142,S01010244,Carntyne West and Haghill - 03
"POINT (-4.34361 55.89216)",Potholes,55.89216,-4.34361,S01010477,Anniesland West - 08
"POINT (-4.23087 55.82932)",Potholes,55.82932,-4.23087,S01010019,Toryglen and Oatlands - 04
"POINT (-4.33597 55.81163)",Potholes,55.81163,-4.33597,S01009765,Darnley North - 02
"POINT (-4.27724 55.81073)",Potholes,55.81073,-4.27724,S01009959,Muirend and Old Cathcart - 01
"POINT (-4.25059 55.86885)",Potholes,55.86885,-4.25059,S01010297,Woodside - 01
"POINT (-4.2704 55.85947)",Potholes,55.85947,-4.2704,S01010277,Anderston - 02
"POINT (-4.30583 55.87104)",Potholes,55.87104,-4.30583,S01010396,Partick - 04
"POINT (-4.1605 55.87304)",Potholes,55.87304,-4.1605,S01010169,Craigend and Ruchazie - 05
"POINT (-4.24494 55.79487)",Potholes,55.79487,-4.24494,S01009972,Carmunnock South - 04
"POINT (-4.12758 55.84667)",Pavements/footpaths,55.84667,-4.12758,S01010085,Baillieston West - 03
"POINT (-4.23247 55.8803)",Potholes,55.8803,-4.23247,S01010208,Petershill - 06
"POINT (-4.24251 55.87797)",Potholes,55.87797,-4.24251,S01010221,Cowlairs and Port Dundas - 03
"POINT (-4.35033 55.88172)",Potholes,55.88172,-4.35033,S01010427,Scotstoun North and East - 01
"POINT (-4.29848 55.82609)",Potholes,55.82609,-4.29848,S01009935,Pollokshaws - 03
"POINT (-4.27153 55.80936)",Potholes,55.80936,-4.27153,S01009960,Muirend and Old Cathcart - 02
"POINT (-4.23245 55.81811)",Potholes,55.81811,-4.23245,S01009997,Kingspark South - 05
"POINT (-4.29626 55.81899)",Potholes,55.81899,-4.29626,S01009934,Pollokshaws - 02
"POINT (-4.23089 55.87164)",Potholes,55.87164,-4.23089,S01010225,Sighthill - 01
"POINT (-4.20324 55.89313)",Potholes,55.89313,-4.20324,S01010198,Balornock - 05
"POINT (-4.34304 55.84347)",Potholes,55.84347,-4.34304,S01009807,Cardonald South and East - 02
"POINT (-4.3502 55.90056)",Potholes,55.90056,-4.3502,S01010480,Blairdardie East - 03
"POINT (-4.26481 55.81815)",Potholes,55.81815,-4.26481,S01010009,Cathcart - 05
"POINT (-4.22437 55.88736)",Potholes,55.88736,-4.22437,S01010210,Springburn - 02
"POINT (-4.32299 55.86005)",Potholes,55.86005,-4.32299,S01009841,Govan and Linthouse - 01
"POINT (-4.25714 55.85713)",Potholes,55.85713,-4.25714,S01010274,City Centre South - 03
"POINT (-4.35507 55.84599)",Potholes,55.84599,-4.35507,S01009819,Cardonald West and Central - 05
"POINT (-4.27481 55.83412)",Potholes,55.83412,-4.27481,S01009911,Strathbungo - 07
"POINT (-4.36982 55.81914)",Potholes,55.81914,-4.36982,S01009793,Pollok South and West - 02
"POINT (-4.37092 55.91301)",Potholes,55.91301,-4.37092,S01010499,Drumry East - 04
"POINT (-4.23738 55.86444)",Potholes,55.86444,-4.23738,S01010262,City Centre East - 04
"POINT (-4.32892 55.7981)",Potholes,55.7981,-4.32892,S01009758,Darnley East - 01
"POINT (-4.31179 55.89206)",Potholes,55.89206,-4.31179,S01010364,Kelvindale - 02
"POINT (-4.3328 55.80088)",Potholes,55.80088,-4.3328,S01009761,Darnley East - 04
"POINT (-4.26994 55.85689)",Potholes,55.85689,-4.26994,S01010276,Anderston - 01
"POINT (-4.31891 55.85158)",Potholes,55.85158,-4.31891,S01009843,Govan and Linthouse - 03
"POINT (-4.32927 55.87072)",Potholes,55.87072,-4.32927,S01010391,Glasgow Harbour and Partick South - 04
"POINT (-4.27295 55.8685)",Potholes,55.8685,-4.27295,S01010296,Woodlands - 08
"POINT (-4.18548 55.86656)",Potholes,55.86656,-4.18548,S01010153,Carntyne - 02
"POINT (-4.24968 55.88653)",Potholes,55.88653,-4.24968,S01010328,Possil Park - 06
"POINT (-4.26273 55.84229)",Potholes,55.84229,-4.26273,S01009882,Pollokshields East - 02
"POINT (-4.35121 55.87993)",Potholes,55.87993,-4.35121,S01010429,Scotstoun North and East - 03
"POINT (-4.35082 55.85192)",Potholes,55.85192,-4.35082,S01009830,Hillington - 02
"POINT (-4.27478 55.83643)",Potholes,55.83643,-4.27478,S01009908,Strathbungo - 04
"POINT (-4.36453 55.80911)",Potholes,55.80911,-4.36453,S01009768,Darnley West - 01
"POINT (-4.24735 55.81073)",Potholes,55.81073,-4.24735,S01009968,Carmunnock North - 04
"POINT (-4.28073 55.88448)",Potholes,55.88448,-4.28073,S01010318,Ruchill - 04
"POINT (-4.26829 55.87052)",Potholes,55.87052,-4.26829,S01010295,Woodlands - 07
"POINT (-4.29036 55.90577)",Potholes,55.90577,-4.29036,S01010348,Summerston North - 03
"POINT (-4.34029 55.85696)",Potholes,55.85696,-4.34029,S01009836,Drumoyne and Shieldhall - 04
"POINT (-4.17481 55.85194)",Potholes,55.85194,-4.17481,S01010145,Tollcross - 04
"POINT (-4.1776 55.8535)",Potholes,55.8535,-4.1776,S01010147,Old Shettleston and Parkhead North - 01
"POINT (-4.32596 55.80837)",Potholes,55.80837,-4.32596,S01009940,Carnwadric West - 02
"POINT (-4.29234 55.83246)",Potholes,55.83246,-4.29234,S01009916,Maxwell Park - 05
"POINT (-4.31018 55.84922)",Potholes,55.84922,-4.31018,S01009873,Kingston West and Dumbreck - 03
"POINT (-4.23886 55.82108)",Potholes,55.82108,-4.23886,S01009999,Kingspark North - 01
"POINT (-4.27458 55.86771)",Potholes,55.86771,-4.27458,S01010289,Woodlands - 01
"POINT (-4.3678 55.89079)",Potholes,55.89079,-4.3678,S01010449,Knightswood West - 03
"POINT (-4.17893 55.8669)",Potholes,55.8669,-4.17893,S01010174,Riddrie and Hogganfield - 03
"POINT (-4.35439 55.87754)",Potholes,55.87754,-4.35439,S01010436,Scotstoun South and West - 05
"POINT (-4.24772 55.82941)",Potholes,55.82941,-4.24772,S01010021,Toryglen and Oatlands - 06
"POINT (-4.24557 55.81283)",Potholes,55.81283,-4.24557,S01009993,Kingspark South - 01
"POINT (-4.29617 55.87814)",Potholes,55.87814,-4.29617,S01010404,Dowanhill - 02
"POINT (-4.34558 55.89419)",Pavements/footpaths,55.89419,-4.34558,S01010461,Knightswood Park East - 02
"POINT (-4.32923 55.85652)",Potholes,55.85652,-4.32923,S01009840,Drumoyne and Shieldhall - 08
"POINT (-4.30432 55.87401)",Potholes,55.87401,-4.30432,S01010397,Partickhill and Hyndland - 01
"POINT (-4.16865 55.82793)",Potholes,55.82793,-4.16865,S01010071,Shettleston South - 03
"POINT (-4.23766 55.86426)",Potholes,55.86426,-4.23766,S01010262,City Centre East - 04
"POINT (-4.27781 55.81095)",Potholes,55.81095,-4.27781,S01009959,Muirend and Old Cathcart - 01
"POINT (-4.20534 55.88148)",Potholes,55.88148,-4.20534,S01010202,Barmulloch - 04
"POINT (-4.34795 55.84)",Potholes,55.84,-4.34795,S01009800,Pollok North and East - 02
"POINT (-4.26845 55.81263)",Potholes,55.81263,-4.26845,S01009962,Muirend and Old Cathcart - 04
"POINT (-4.13868 55.86664)",Potholes,55.86664,-4.13868,S01010129,Barlanark - 07
"POINT (-4.13823 55.86362)",Potholes,55.86362,-4.13823,S01010129,Barlanark - 07
"POINT (-4.26131 55.84808)",Potholes,55.84808,-4.26131,S01010032,Laurieston and Tradeston - 02
"POINT (-4.15523 55.86675)",Potholes,55.86675,-4.15523,S01010129,Barlanark - 07
"POINT (-4.12254 55.87956)",Potholes,55.87956,-4.12254,S01010117,"Garthamlock, Auchinlea and Gartloch - 05"
"POINT (-4.38615 55.90803)",Potholes,55.90803,-4.38615,S01010500,Drumry West - 01
"POINT (-4.28894 55.88975)",Potholes,55.88975,-4.28894,S01010359,Wyndford - 02
"POINT (-4.37838 55.88809)",Potholes,55.88809,-4.37838,S01010440,Yoker South - 04
"POINT (-4.37794 55.88824)",Potholes,55.88824,-4.37794,S01010438,Yoker South - 02
"POINT (-4.37141 55.88514)",Potholes,55.88514,-4.37141,S01010442,Yoker South - 06
"POINT (-4.25483 55.8205)",Potholes,55.8205,-4.25483,S01010004,Kingspark North - 06
"POINT (-4.33775 55.8653)",Potholes,55.8653,-4.33775,S01009833,Drumoyne and Shieldhall - 01
