WKT,category,latitude,longitude,datazone,name
"POINT (-4.30815 55.84822)",Potholes,55.84822,-4.30815,S01009873,Kingston West and Dumbreck - 03
"POINT (-4.14926 55.85166)",Pavements/footpaths,55.85166,-4.14926,S01010131,Greenfield - 01
"POINT (-4.13114 55.86442)",Potholes,55.86442,-4.13114,S01010120,North Barlanark and Easterhouse South - 03
"POINT (-4.32049 55.88823)",Potholes,55.88823,-4.32049,S01010413,Kelvinside and Jordanhill - 06
"POINT (-4.16749 55.88752)",Potholes,55.88752,-4.16749,S01010187,Robroyston and Millerston - 02
"POINT (-4.23235 55.85684)",Potholes,55.85684,-4.23235,S01010038,Calton and Gallowgate - 02
"POINT (-4.34859 55.86437)",Potholes,55.86437,-4.34859,S01009833,Drumoyne and Shieldhall - 01
"POINT (-4.24333 55.85513)",Potholes,55.85513,-4.24333,S01010041,Calton and Gallowgate - 05
"POINT (-4.33641 55.82312)",Potholes,55.82312,-4.33641,S01009775,Nitshill - 01
"POINT (-4.37846 55.82196)",Potholes,55.82196,-4.37846,S01009793,Pollok South and West - 02
"POINT (-4.28816 55.81601)",Potholes,55.81601,-4.28816,S01009951,Newlands - 04
"POINT (-4.25912 55.85248)",Potholes,55.85248,-4.25912,S01010032,Laurieston and Tradeston - 02
"POINT (-4.28047 55.87529)",Pavements/footpaths,55.87529,-4.28047,S01010308,Firhill - 08
"POINT (-4.29589 55.82864)",Potholes,55.82864,-4.29589,S01009935,Pollokshaws - 03
"POINT (-4.32254 55.8777)",Potholes,55.8777,-4.32254,S01010418,Broomhill - 04
"POINT (-4.32231 55.89483)",Potholes,55.89483,-4.32231,S01010473,Anniesland West - 04
"POINT (-4.14621 55.84459)",Potholes,55.84459,-4.14621,S01010074,Carmyle and Mount Vernon South - 01
"POINT (-4.2136 55.87098)",Potholes,55.87098,-4.2136,S01010229,"Roystonhill, Blochairn, and Provanmill - 02"
"POINT (-4.34109 55.81181)",Potholes,55.81181,-4.34109,S01009782,Nitshill - 08
"POINT (-4.15464 55.85356)",Potholes,55.85356,-4.15464,S01010131,Greenfield - 01
"POINT (-4.23374 55.87991)",Potholes,55.87991,-4.23374,S01010223,Cowlairs and Port Dundas - 05
"POINT (-4.10973 55.85017)",Potholes,55.85017,-4.10973,S01010090,Baillieston East - 03
"POINT (-4.36362 55.8829)",Potholes,55.8829,-4.36362,S01010432,Scotstoun South and West - 01
"POINT (-4.2747 55.85356)",Potholes,55.85356,-4.2747,S01010031,Laurieston and Tradeston - 01
"POINT (-4.28748 55.88862)",Potholes,55.88862,-4.28748,S01010359,Wyndford - 02
"POINT (-4.34087 55.80935)",Potholes,55.80935,-4.34087,S01009765,Darnley North - 02
"POINT (-4.30826 55.89118)",Potholes,55.89118,-4.30826,S01010364,Kelvindale - 02
"POINT (-4.3648 55.91916)",Potholes,55.91916,-4.3648,S01010497,Drumry East - 02
"POINT (-4.27053 55.81037)",Potholes,55.81037,-4.27053,S01009962,Muirend and Old Cathcart - 04
"POINT (-4.34098 55.8118)",Potholes,55.8118,-4.34098,S01009782,Nitshill - 08
"POINT (-4.3004 55.85475)",Potholes,55.85475,-4.3004,S01009862,Ibrox East and Cessnock - 01
"POINT (-4.26086 55.88042)",Potholes,55.88042,-4.26086,S01010309,Keppochhill - 01
"POINT (-4.21035 55.83968)",Potholes,55.83968,-4.21035,S01010048,Dalmarnock - 03
"POINT (-4.37915 55.82238)",Potholes,55.82238,-4.37915,S01009793,Pollok South and West - 02
"POINT (-4.26276 55.83505)",Pavements/footpaths,55.83505,-4.26276,S01009903,Battlefield - 05
"POINT (-4.35166 55.89093)",Potholes,55.89093,-4.35166,S01010457,Knightswood Park West - 03
"POINT (-4.32772 55.84581)",Potholes,55.84581,-4.32772,S01009856,Mosspark - 05
"POINT (-4.24452 55.81015)",Potholes,55.81015,-4.24452,S01009989,Castlemilk - 04
"POINT (-4.26011 55.8567)",Pavements/footpaths,55.8567,-4.26011,S01010273,City Centre South - 02
"POINT (-4.16174 55.87546)",Pavements/footpaths,55.87546,-4.16174,S01010169,Craigend and Ruchazie - 05
"POINT (-4.35072 55.88544)",Potholes,55.88544,-4.35072,S01010451,Knightswood East - 02
"POINT (-4.35768 55.81175)",Potholes,55.81175,-4.35768,S01009769,Darnley West - 02
"POINT (-4.27038 55.88647)",Pavements/footpaths,55.88647,-4.27038,S01010316,Ruchill - 02
"POINT (-4.25609 55.8338)",Potholes,55.8338,-4.25609,S01009897,Govanhill East and Aikenhead - 04
"POINT (-4.32568 55.88408)",Potholes,55.88408,-4.32568,S01010411,Kelvinside and Jordanhill - 04
"POINT (-4.24835 55.86231)",Pavements/footpaths,55.86231,-4.24835,S01010260,City Centre East - 02
"POINT (-4.10636 55.85226)",Potholes,55.85226,-4.10636,S01010089,Baillieston East - 02
"POINT (-4.28926 55.8725)",Pavements/footpaths,55.8725,-4.28926,S01010379,Kelvingrove and University - 06
"POINT (-4.34745 55.80213)",Potholes,55.80213,-4.34745,S01009771,Darnley West - 04
"POINT (-4.26203 55.86141)",Potholes,55.86141,-4.26203,S01010275,City Centre South - 04
"POINT (-4.26255 55.86145)",Potholes,55.86145,-4.26255,S01010275,City Centre South - 04
"POINT (-4.25531 55.8525)",Pavements/footpaths,55.8525,-4.25531,S01010032,Laurieston and Tradeston - 02
"POINT (-4.31101 55.8497)",Potholes,55.8497,-4.31101,S01009852,Mosspark - 01
"POINT (-4.1326 55.85064)",Potholes,55.85064,-4.1326,S01010097,Garrowhill West - 04
"POINT (-4.35491 55.87673)",Potholes,55.87673,-4.35491,S01010436,Scotstoun South and West - 05
"POINT (-4.34957 55.89398)",Potholes,55.89398,-4.34957,S01010457,Knightswood Park West - 03
"POINT (-4.25045 55.81718)",Potholes,55.81718,-4.25045,S01009998,Kingspark South - 06
"POINT (-4.34968 55.89398)",Potholes,55.89398,-4.34968,S01010457,Knightswood Park West - 03
"POINT (-4.25577 55.82849)",Potholes,55.82849,-4.25577,S01010014,Mount Florida - 04
"POINT (-4.34062 55.89467)",Potholes,55.89467,-4.34062,S01010470,Anniesland West - 01
"POINT (-4.30849 55.85593)",Potholes,55.85593,-4.30849,S01009861,Ibrox - 03
"POINT (-4.30248 55.87072)",Pavements/footpaths,55.87072,-4.30248,S01010386,Hillhead - 06
"POINT (-4.25385 55.83968)",Potholes,55.83968,-4.25385,S01009896,Govanhill East and Aikenhead - 03
"POINT (-4.38197 55.89474)",Potholes,55.89474,-4.38197,S01010446,Yoker North - 04
"POINT (-4.25535 55.83274)",Potholes,55.83274,-4.25535,S01009902,Battlefield - 04
"POINT (-4.22857 55.81663)",Potholes,55.81663,-4.22857,S01009996,Kingspark South - 04
